
=== TouchTest session started at clock=1.048 ===
# seq | clock_s | category | value | x | y | panState | gridOffX | gridOffY
1|13.814|1|16640|235|187|0|0|0
2|13.909|1|16642|235|155|1|0|0
3|13.940|1|16642|235|149|1|0|-32
4|14.003|1|16642|237|122|1|0|-38
5|14.034|1|16642|237|109|1|2|-65
6|14.064|1|16642|236|100|1|2|-78
7|14.126|1|16642|236|93|1|1|-87
8|14.158|1|16642|235|92|1|1|-94
9|14.189|1|16642|235|92|1|0|-95
10|14.237|1|16642|235|89|2|0|-95
11|14.267|1|16642|235|89|2|0|-95
12|14.328|1|16642|235|96|2|0|-95
13|14.359|1|16642|235|96|2|0|-95
14|14.390|1|16642|235|116|2|0|-95
15|14.437|1|16642|236|128|2|0|-95
16|14.469|1|16642|236|131|2|0|-95
17|14.531|1|16642|236|144|2|0|-95
18|14.562|1|16642|236|150|2|0|-95
19|14.594|1|16642|236|159|2|0|-95
20|14.641|1|16642|236|166|2|0|-95
21|14.672|1|16642|236|166|2|0|-95
22|14.735|1|16642|236|166|2|0|-95
23|14.766|1|16642|236|166|2|0|-95
24|14.797|1|16642|236|166|2|0|-95
25|14.844|1|16642|236|166|2|0|-95
26|14.874|1|16642|236|166|2|0|-95
27|14.952|1|16642|236|215|2|0|-95
28|14.983|1|16642|236|215|2|0|-95
29|15.014|1|16642|236|215|2|0|-95
30|15.060|1|16642|236|215|2|0|-95
31|15.091|1|16642|236|215|2|0|-95
32|15.169|1|16642|236|212|2|0|-95
33|15.200|1|16642|236|209|2|0|-95
34|15.262|1|16642|236|209|2|0|-95
35|15.294|1|16642|236|209|2|0|-95
36|15.325|1|16642|237|157|2|0|-95
37|15.372|1|16642|237|141|2|0|-95
38|15.403|1|16642|237|141|2|0|-95
39|15.466|1|16642|236|129|2|0|-95
40|15.497|1|16642|236|128|2|0|-95
41|15.528|1|16642|236|126|2|0|-95
42|15.589|1|16642|236|126|2|0|-95
43|15.620|1|16642|236|126|2|0|-95
43|16.214|0|0|0|0|0|0|-95|GRACE_EXPIRED
44|17.491|1|16640|90|163|0|0|-95
45|17.522|1|16642|126|164|1|0|-95
